"【提出修改建議 template】 This translation is culturally inappropriate. The correct Traditional Chinese translation should be _____. I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).  ",,,,,,,↙↓超連結及提出建議欄均已格式化，不須手動填入，可直接選取上方列然後點兩下右下角藍點來自動填入或是複製→選擇性貼上→僅貼上公式
Eng/外文,台灣用語,中國用語/其他,google翻譯狀態,類型,google 超連結,Google Translate Result (EN to zh-tw),方便回報複製用
Joystick,搖桿,遊戲桿,未改,物品,Joystick,遊戲桿,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""搖桿"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
kiwi,奇異果,獼猴桃,未改,食品/動植物,kiwi,獼猴桃,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""奇異果"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Koran,可蘭經,古蘭經,OK,藝文(書籍/影視),Koran,可蘭經,狀態OK
LAND ROVER,荒原路華,路虎,未改,品牌,LAND ROVER,LAND ROVER,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""荒原路華"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Lao,寮國,老撾,未改,國名/地名,Lao,老撾,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""寮國"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
laptop,筆記型電腦,筆記本電腦,未改,科技術語,laptop,筆記本電腦,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""筆記型電腦"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
laser,鐳射,激光,未改,科技術語,laser,激光,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""鐳射"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
laser printers,雷射印表機,激光打印機,未改,科技術語,laser printers,激光打印機,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""雷射印表機"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
leave without pay,留職停薪,保值停薪,未改,日常用語,leave without pay,停薪留職,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""留職停薪"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
LED,發光二極體,發光二極管,未改,科技術語,LED,發光二極管,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""發光二極體"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
level,水準,水平,未改,日常用語,level,水平,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""水準"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Linkin Park,聯合公園,林肯公園,未改,人名,Linkin Park,林肯公園,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""聯合公園"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
low-end,低階,低端的,未改,日常用語,low-end,低端,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""低階"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
main memory,主記憶體,主存,未改,科技術語,main memory,主內存,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""主記憶體"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Maker,製造者,創客,未改,科技術語,Maker,製作者,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""製造者"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Marketing Channel,行銷通路,營銷渠道,未改,日常用語,Marketing Channel,營銷渠道,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""行銷通路"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
marriage certificate,結婚證書,結婚證,未改,日常用語,marriage certificate,結婚證,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""結婚證書"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Matte varnish,消光金油,哑光清漆,未改,其他,Matte varnish,啞光清漆,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""消光金油"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
memory card,記憶卡,存儲卡,未改,科技術語,memory card,存儲卡,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""記憶卡"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
message,訊息,信息,未改,日常用語,message,信息,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""訊息"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Michael Jackson,麥可傑克森,邁克爾杰克遜,未改,人名,Michael Jackson,邁克爾杰克遜,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""麥可傑克森"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Michael Jordan,麥可喬丹,邁克爾·喬丹,未改,人名,Michael Jordan,邁克爾·喬丹,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""麥可喬丹"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
mini,迷你,微型,未改,日常用語,mini,微型,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""迷你"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
model,模範,模板,未改,日常用語,model,模型,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""模範"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
modem,數據機,調制解調器,未改,科技術語,modem,調製解調器,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""數據機"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Monet ,莫內,莫奈,未改,人名,Monet ,莫奈,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""莫內"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Mothra,摩斯拉,莫斯拉,OK,藝文(書籍/影視),Mothra,摩斯拉,狀態OK
motor,馬達,發動機,未改,物品,motor,發動機,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""馬達"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
mouse pad,滑鼠墊,鼠標墊,未改,科技術語,mouse pad,鼠標墊,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""滑鼠墊"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
multimeter,三用電表,萬用表,未改,科技術語,multimeter,萬用表,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""三用電表"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Nairobi,奈洛比,內羅畢,未改,國名/地名,Nairobi,內羅畢,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""奈洛比"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
New Zealand,紐西蘭,新西蘭,未改,國名/地名,New Zealand,新西蘭,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""紐西蘭"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Nigeria,奈及利亞,尼日利亞,未改,國名/地名,Nigeria,尼日利亞,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""奈及利亞"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Nixie tube,輝光管,數碼管,未改,科技術語,Nixie tube,數碼管,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""輝光管"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
north korea,北韓,北朝鮮,未改,國名/地名,north korea,北朝鮮,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""北韓"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
object oriented,物件導向,面向對象,未改,科技術語,object oriented,面向對象,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""物件導向"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
operating system,作業系統,操作系統,未改,科技術語,operating system,操作系統,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""作業系統"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
optimize,最佳化,優化,未改,日常用語,optimize,優化,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""最佳化"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
owner,擁有者、所有權人,所有者,未改,日常用語,owner,所有者,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""擁有者、所有權人"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
people with disabilities,身心障礙者,殘疾人,未改,日常用語,people with disabilities,殘疾人,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""身心障礙者"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Picasso,畢卡索,畢加索,未改,人名,Picasso,畢加索,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""畢卡索"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
pineapple,鳳梨,菠蘿,未改,食品/動植物,pineapple,菠蘿,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""鳳梨"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
plastic bag,塑膠袋,塑料袋,未改,物品,plastic bag,塑料袋,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""塑膠袋"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
plastic bottle,寶特瓶,塑料瓶,未改,物品,plastic bottle,塑料瓶,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""寶特瓶"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
plug adapter,轉接頭,適配器,未改,科技術語,plug adapter,插頭適配器,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""轉接頭"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
popsicle,冰棒,冰棍,未改,食品/動植物,popsicle,棒冰,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""冰棒"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
potato,馬鈴薯,土豆,未改,食品/動植物,potato,土豆,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""馬鈴薯"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
potato chips,洋芋片,土豆片 / 薯片,未改,食品/動植物,potato chips,土豆片,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""洋芋片"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
power bank,行動電源,移動電源,未改,物品,power bank,移動電源,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""行動電源"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
President Trump,川普總統,特朗普總統,未改,人名,President Trump,特朗普總統,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""川普總統"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
President Tsai Ing-Wen,總統蔡英文,蔡英文,未改,人名,President Tsai Ing-Wen,主席蔡英文,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""總統蔡英文"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
print,列印,打印,未改,科技術語,print,打印,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""列印"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
printer,印表機,打印機,未改,科技術語,printer,打印機,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""印表機"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Private message,私訊,私信,未改,科技術語,Private message,私人信息,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""私訊"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
program,程式,程序,未改,科技術語,program,程序,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""程式"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Putin,普丁,普京,未改,人名,Putin,普京,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""普丁"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
quality,品質,質量,未改,日常用語,quality,質量,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""品質"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
RAM,記憶體,內存,未改,科技術語,RAM,內存,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""記憶體"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
random access memory,隨機存取記憶體,隨機存取儲存器,未改,科技術語,random access memory,隨機存取存儲器,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""隨機存取記憶體"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
rapper,饒舌歌手,說唱歌手,未改,音樂(樂器/術語),rapper,說唱歌手,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""饒舌歌手"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
resolution,解析度,分辨率,OK,科技術語,resolution,解析度,狀態OK
ricecooker,電鍋,電飯鍋,未改,日常用語,ricecooker,電飯鍋,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""電鍋"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Rodan,拉頓,羅丹,未改,藝文(書籍/影視),Rodan,羅丹,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""拉頓"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
roller coaster,雲霄飛車,過山車,未改,物品,roller coaster,過山車,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""雲霄飛車"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
row,列,行,未改,日常用語,row,行,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""列"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
rubik's cube,魔術方塊,魔方,未改,物品,rubik's cube,魔方,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""魔術方塊"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
rumor,造謠,波髒水,未改,日常用語,rumor,謠言,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""造謠"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
salad,沙拉,色拉,OK,食品/動植物,salad,沙拉,狀態OK
salmon,鮭魚,三文魚,未改,食品/動植物,salmon,三文魚,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""鮭魚"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
sanitary napkin,衛生棉,衛生巾,未改,物品,sanitary napkin,衛生巾,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""衛生棉"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Saudi Arabia,沙烏地阿拉伯,沙特阿拉伯,未改,國名/地名,Saudi Arabia,沙特阿拉伯,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""沙烏地阿拉伯"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
scalper,黃牛,票販子,OK,日常用語,scalper,黃牛,狀態OK
screen,螢幕,屏幕,未改,科技術語,screen,屏幕,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""螢幕"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
sensor,感測器,傳感器,未改,科技術語,sensor,傳感器,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""感測器"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Server,伺服器,服務器,未改,科技術語,Server,服務器,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""伺服器"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Severe Acute Respiratory Syndrome (SARS),嚴重急性呼吸道症候群 (SARS),非典,未改,醫療,Severe Acute Respiratory Syndrome (SARS),嚴重急性呼吸系統綜合症（SARS）,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""嚴重急性呼吸道症候群 (SARS)"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
shampoo and conditioner,洗髮精和潤髮乳,洗髮水和護髮素,未改,日常用語,shampoo and conditioner,洗髮水和護髮,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""洗髮精和潤髮乳"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
ship date,出貨日期,發貨日期,未改,日常用語,ship date,發貨日期,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""出貨日期"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Sibelius,西貝流士,西貝柳斯,未改,音樂(樂器/術語),Sibelius,西貝柳斯,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""西貝流士"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Sierra Leone,獅子山,塞拉利昂,未改,國名/地名,Sierra Leone,塞拉利昂,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""獅子山"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
smart tv,智慧電視,智能電視,未改,科技術語,smart tv,智能電視,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""智慧電視"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
smartphones,智慧型手機,智能手機,未改,物品,smartphones,智能手機,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""智慧型手機"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
software,軟體,軟件,未改,科技術語,software,軟件,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""軟體"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
software package,套裝軟體,軟件包,未改,科技術語,software package,軟件包,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""套裝軟體"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Space Station,太空站,空間站,未改,科技術語,Space Station,空間站,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""太空站"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Spider-Man,蜘蛛人,蜘蛛俠,未改,藝文(書籍/影視),Spider-Man,蜘蛛俠,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""蜘蛛人"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
square meter,平方公尺,平米,未改,日常用語,square meter,平方米,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""平方公尺"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
standard definition tv,標準畫質,標清,未改,科技術語,standard definition tv,標準清晰度電視,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""標準畫質"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Star Craft,星海爭霸,星際爭霸,未改,藝文(書籍/影視),Star Craft,星際爭霸,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""星海爭霸"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Star Wars,星際大戰,星球大戰,未改,藝文(書籍/影視),Star Wars,星球大戰,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""星際大戰"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
steak,牛排,牛扒,未改,食品/動植物,steak,牛扒,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""牛排"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
steakhouse,牛排館,牛排屋,未改,日常用語,steakhouse,牛排屋,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""牛排館"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Strauss,史特勞斯,施特劳斯,未改,人名,Strauss,斯特勞斯,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""史特勞斯"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Submit,送出,提交,未改,日常用語,Submit,提交,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""送出"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Sydney,雪梨,悉尼,未改,國名/地名,Sydney,悉尼,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""雪梨"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
taxi,計程車,出租車,未改,物品,taxi,出租車,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""計程車"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
tearful,淚流滿面,內牛滿面,未改,日常用語,tearful,內牛滿面,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""淚流滿面"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
text message,簡訊,短訊,未改,日常用語,text message,短信,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""簡訊"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
The Lord of the Rings,魔戒,指環王,未改,藝文(書籍/影視),The Lord of the Rings,在指環王,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""魔戒"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
thermos,熱水瓶,保溫杯,OK,物品,thermos,熱水瓶,狀態OK
tomato,番茄,西紅柿,OK,食品/動植物,tomato,番茄,狀態OK
transfer money,轉帳,划款,未改,日常用語,transfer money,划款,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""轉帳"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
transistor,電晶體,晶體管,未改,科技術語,transistor,晶體管,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""電晶體"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Tsai Ing-Wen President,蔡英文總統,蔡英文,未改,人名,Tsai Ing-Wen President,蔡英文主席,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""蔡英文總統"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
tuba,低音號,大號,未改,音樂(樂器/術語),tuba,大號,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""低音號"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
tuna,鮪魚,金槍魚,未改,食品/動植物,tuna,金槍魚,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""鮪魚"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
unemployed,失業,下崗,未改,日常用語,unemployed,失業的,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""失業"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
uninstall,解除安裝,卸載,未改,科技術語,uninstall,卸載,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""解除安裝"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
vacuum cleaner,吸塵器,除塵器,OK,物品,vacuum cleaner,吸塵器,狀態OK
Van Gogh ,梵谷,梵高,未改,人名,Van Gogh ,梵高,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""梵谷"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
video,影片,視頻,未改,日常用語,video,視頻,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""影片"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
video recorder,錄影機,錄像機,未改,物品,video recorder,錄像機,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""錄影機"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Viola Concerto ‘Der Schwanendreher’,中提琴協奏曲「烤天鵝的人」,中提琴協奏曲「天鵝轉子」,未改,藝文(書籍/影視),Viola Concerto ‘Der Schwanendreher’,中提琴協奏曲“明鏡Schwanendreher”,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""中提琴協奏曲「烤天鵝的人」"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Volkswagen,福斯汽車,大眾汽車,未改,品牌,Volkswagen,大眾汽車,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""福斯汽車"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
waiter,服務生,服務員,未改,日常用語,waiter,服務員,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""服務生"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
